交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"20170123150464597331 	","                    	",2017/1/23 4:20,                    ,2017/1/23 4:20,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.22-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017012221001004330223760404	","2017012205022440653663	",2017/1/22 12:14,2017/1/22 12:14,2017/1/22 12:14,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京家乐福商业有限公司     ,北京中关村店（收银线）         ,12.1,支出      ,交易成功    ,0,0,                    ,已支出      
"20170122149868298331 	","                    	",2017/1/22 6:50,                    ,2017/1/22 6:50,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.21-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170121148792779331 	","                    	",2017/1/21 6:39,                    ,2017/1/21 6:39,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.20-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017012021001004330222262124	","T0205000000001201025071657804954	",2017/1/20 18:15,2017/1/20 18:15,2017/4/21 18:16,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,韩国拌饭外卖订单            ,42,支出      ,交易成功    ,0,0,                    ,已支出      
"20170120147235914331 	","                    	",2017/1/20 4:39,                    ,2017/1/20 4:39,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.19-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170120110500101000330013748921	","20170120110500501000330044719393	",2017/1/20 4:23,2017/1/20 4:23,2017/1/20 4:23,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,4,        ,交易成功    ,0,0,                    ,资金转移     
"20170119200040011100960028348954	","20170119950486477098772688377618	",2017/1/19 14:30,2017/1/19 14:30,2017/1/19 14:30,支付宝网站     ,即时到账交易          ,岩岩              ,转账                  ,4,收入      ,交易成功    ,0,0,转账                  ,已收入      
"20170119146525068331 	","                    	",2017/1/19 6:32,                    ,2017/1/19 6:32,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.18-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170119110500101000330013555254	","20170119110500501000330044609433	",2017/1/19 4:23,2017/1/19 4:23,2017/1/19 4:23,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,13.9,        ,交易成功    ,0,0,                    ,资金转移     
"20170118200040011100330026511068	","20170118498413418133962800339971	",2017/1/18 19:27,2017/1/18 19:28,2017/1/18 19:28,支付宝网站     ,即时到账交易          ,菠菜(张禹新)         ,转账                  ,100,支出      ,交易成功    ,0,0,转账                  ,已支出      
"20170118200040011100330026545660	","20170118778069763961677558642555	",2017/1/18 19:25,2017/1/18 19:25,2017/1/18 19:25,支付宝网站     ,即时到账交易          ,菠菜(张禹新)         ,转账                  ,5400,支出      ,交易成功    ,0,0,转账                  ,已支出      
"20170118200040011100960027741360	","20170118990040967563221923201015	",2017/1/18 17:58,2017/1/18 17:58,2017/1/18 17:58,支付宝网站     ,即时到账交易          ,岩岩              ,转账                  ,13.9,收入      ,交易成功    ,0,0,转账                  ,已收入      
"20170118200040011100330026416013	","20170118470288382198115707912243	",2017/1/18 17:31,2017/1/18 17:31,2017/1/18 17:31,支付宝网站     ,即时到账交易          ,宋桂芬(宋桂芬)        ,转账                  ,14,支出      ,交易成功    ,0,0,转账                  ,已支出      
"2017011821001001330219362228	","T100P3031529296458587	",2017/1/18 8:22,2017/1/18 8:22,2017/1/18 8:22,淘宝        ,支付宝担保交易         ,千行你我话费专营店       ,186-3148-5308 官方超快充&mdash;河北联通100元手机话费充值,99.75,支出      ,交易成功    ,0,0,                    ,已支出      
"20170118144962687331 	","                    	",2017/1/18 4:20,                    ,2017/1/18 4:20,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.17-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170117144017899331 	","                    	",2017/1/17 5:44,                    ,2017/1/17 5:44,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.16-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017011621001004330216898181	","817011688789        	",2017/1/16 10:29,2017/1/16 10:29,2017/4/17 10:30,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京快方科技有限公司      ,快方送药                ,9.8,支出      ,交易成功    ,0,0,                    ,已支出      
"2017011621001004330216762296	","150_1_3156BA3E3F120C01_587C1168	",2017/1/16 8:18,2017/1/16 8:18,2017/4/17 8:19,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴车费-车主             ,19.2,支出      ,交易成功    ,0,0,                    ,已支出      
"20170116142738589331 	","                    	",2017/1/16 5:22,                    ,2017/1/16 5:22,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.15-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170115141536616331 	","                    	",2017/1/15 4:31,                    ,2017/1/15 4:31,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.14-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170114140915361331 	","                    	",2017/1/14 7:13,                    ,2017/1/14 7:13,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.13-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017011321001004330212998476	","210_201701133074861801562708	",2017/1/13 16:32,2017/1/13 16:32,2017/4/14 16:32,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-王树林师傅          ,16.4,支出      ,交易成功    ,0,0,                    ,已支出      
"20170113139373467331 	","                    	",2017/1/13 6:01,                    ,2017/1/13 6:01,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.12-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"20170113110500101000330012530191	","20170113110500501000330043972006	",2017/1/13 4:23,2017/1/13 4:23,2017/1/13 4:23,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,10,        ,交易成功    ,0,0,                    ,资金转移     
"20170112779313203302 	","YFX-CLAIM-2918085481428587-1	",2017/1/12 14:53,2017/1/12 14:53,2017/1/12 14:53,其他（包括阿里巴巴和外部商家）,即时到账交易          ,泰康在线财产保险股份有限公司  ,保险理赔-买家版运费险 理赔 PolicyNo: YFX-2918085481428587,10,收入      ,交易成功    ,0,0,                    ,已收入      
"20170112138621478331 	","                    	",2017/1/12 9:44,                    ,2017/1/12 9:44,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.11-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017011221001004330210830546	","150_1_2ED030EC07C20C01_5876C9A1	",2017/1/12 8:11,2017/1/12 8:11,2017/4/13 8:11,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴车费-车主             ,19.2,支出      ,交易成功    ,0,0,                    ,已支出      
"2017011121001004330210185309	","210_201701114247930101332772	",2017/1/11 19:47,2017/1/11 19:48,2017/4/12 19:49,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-尹东启师傅          ,22.3,支出      ,交易成功    ,0,0,                    ,已支出      
"20170111136807910331 	","                    	",2017/1/11 6:24,                    ,2017/1/11 6:24,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.10-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017011021001004330207754335	","T0205000000000101950953956152631	",2017/1/10 10:56,2017/1/10 10:56,2017/4/11 10:57,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,川渝美食（知春路）外卖订单       ,11.8,支出      ,交易成功    ,0,0,                    ,已支出      
"20170110134745237331 	","                    	",2017/1/10 4:17,                    ,2017/1/10 4:17,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.01.09-收益发放 ,0.17,收入      ,交易成功    ,0,0,                    ,已收入      
"2017010929020841330002157860	","                    	",2017/1/9 9:00,2017/1/9 9:00,2017/1/9 9:00,支付宝网站     ,即时到账交易          ,蚂蚁花呗            ,主动还款-花呗2017年01月账单   ,655.09,        ,还款成功    ,0,0,                    ,资金转移     
